"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Item Due Date","","0","12","0","0","0"
"","Full name update","","0","1","0","0","0"
"","Email update","","0","1","0","0","0"
"","Add Above Below Item","","0","4","0","0","0"
"","User Login","","0","1","0","0","0"
"","Empty recycle bin","","0","1","0","0","0"
"","Item Priority","","0","4","0","0","0"
"","Project Image Selection","","0","1","0","0","0"
"","Settings account view","","0","1","0","0","0"
"","Project Update","","0","1","0","0","0"
"","Password update","","0","1","0","0","0"
"","Project Deletion","","0","1","0","0","0"
"","Project Creation Above","","0","2","0","0","0"
"","Profile settings view","","0","1","0","0","0"
"","Create an Item in a Project","","0","1","0","0","0"
"","User Logout","","0","1","0","0","0"
"","Project Creation","","0","1","0","0","0"
"","Item Deletion","","0","1","0","0","0"
"","Time Zone update","","0","1","0","0","0"
"","Item Update","","0","1","0","0","0"
"","Checking a Todo Item","","0","1","0","0","0"
