"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 02 11:44:24 GMT 2023","Thu Mar 02 11:44:29 GMT 2023","5566","","","","","","Login into the site succesfully",""
"passed","Thu Mar 02 11:37:36 GMT 2023","Thu Mar 02 11:37:43 GMT 2023","6984","","","","","","Update the Due Date of an item succesfully",""
"passed","Thu Mar 02 11:43:44 GMT 2023","Thu Mar 02 11:43:50 GMT 2023","6163","","","","","","View account settings succesfully",""
"passed","Thu Mar 02 11:41:47 GMT 2023","Thu Mar 02 11:41:53 GMT 2023","6112","","","","","","Create a new project",""
"passed","Thu Mar 02 11:42:21 GMT 2023","Thu Mar 02 11:42:27 GMT 2023","6020","","","","","","Drang and drop inside another project",""
"failed","Thu Mar 02 11:38:52 GMT 2023","Thu Mar 02 11:39:53 GMT 2023","61945","","","","","","View Less Options Successfully",""
"passed","Thu Mar 02 11:37:08 GMT 2023","Thu Mar 02 11:37:15 GMT 2023","7304","","","","","","Update the Due Date of an item succesfully",""
"passed","Thu Mar 02 11:35:47 GMT 2023","Thu Mar 02 11:35:55 GMT 2023","8206","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 11:44:03 GMT 2023","Thu Mar 02 11:44:09 GMT 2023","6163","","","","","","View pro settings succesfully",""
"passed","Thu Mar 02 11:37:53 GMT 2023","Thu Mar 02 11:38:00 GMT 2023","6640","","","","","","Checking and unchecking an Item in a Project successfully",""
"passed","Thu Mar 02 11:43:29 GMT 2023","Thu Mar 02 11:43:36 GMT 2023","7132","","","","","","Fail to update password with empty input",""
"passed","Thu Mar 02 11:41:54 GMT 2023","Thu Mar 02 11:42:10 GMT 2023","15872","","","","","","Delete a project",""
"passed","Thu Mar 02 11:35:25 GMT 2023","Thu Mar 02 11:35:35 GMT 2023","9702","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 11:44:09 GMT 2023","Thu Mar 02 11:44:15 GMT 2023","6325","","","","","","View share settings succesfully",""
"passed","Thu Mar 02 11:38:02 GMT 2023","Thu Mar 02 11:38:08 GMT 2023","6361","","","","","","Place item priority",""
"failed","Thu Mar 02 11:39:55 GMT 2023","Thu Mar 02 11:40:57 GMT 2023","61944","","","","","","View More Options Successfully",""
"passed","Thu Mar 02 11:36:08 GMT 2023","Thu Mar 02 11:36:16 GMT 2023","8250","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 11:37:45 GMT 2023","Thu Mar 02 11:37:51 GMT 2023","6320","","","","","","Checking and unchecking an Item in a Project successfully",""
"passed","Thu Mar 02 11:36:18 GMT 2023","Thu Mar 02 11:36:26 GMT 2023","8191","","","","","","Postpone the Due Date of an item succesfully",""
"broken","Thu Mar 02 11:38:35 GMT 2023","Thu Mar 02 11:38:41 GMT 2023","6257","","","","","","Successfully addition of an item above or below an existing item",""
"passed","Thu Mar 02 11:38:18 GMT 2023","Thu Mar 02 11:38:25 GMT 2023","6398","","","","","","Place item priority",""
"passed","Thu Mar 02 11:42:58 GMT 2023","Thu Mar 02 11:43:04 GMT 2023","6769","","","","","","Fail to update email with empty input",""
"passed","Thu Mar 02 11:36:28 GMT 2023","Thu Mar 02 11:36:36 GMT 2023","8164","","","","","","Postpone the Due Date of an item succesfully",""
"broken","Thu Mar 02 11:38:44 GMT 2023","Thu Mar 02 11:38:50 GMT 2023","6355","","","","","","Successfully addition of an item above or below an existing item",""
"broken","Thu Mar 02 11:41:25 GMT 2023","Thu Mar 02 11:41:32 GMT 2023","6321","","","","","","Update a name of an item succesfully",""
"passed","Thu Mar 02 11:37:17 GMT 2023","Thu Mar 02 11:37:24 GMT 2023","7315","","","","","","Update the Due Date of an item succesfully",""
"passed","Thu Mar 02 11:43:56 GMT 2023","Thu Mar 02 11:44:03 GMT 2023","6220","","","","","","View profile settings succesfully",""
"passed","Thu Mar 02 11:41:41 GMT 2023","Thu Mar 02 11:41:47 GMT 2023","6356","","","","","","Add a project below",""
"passed","Thu Mar 02 11:43:21 GMT 2023","Thu Mar 02 11:43:28 GMT 2023","7101","","","","","","Update full name succesfully",""
"passed","Thu Mar 02 11:43:04 GMT 2023","Thu Mar 02 11:43:13 GMT 2023","8417","","","","","","Update email succesfully",""
"passed","Thu Mar 02 11:42:51 GMT 2023","Thu Mar 02 11:42:58 GMT 2023","6763","","","","","","Fail to update email with an existing email",""
"passed","Thu Mar 02 11:36:38 GMT 2023","Thu Mar 02 11:36:46 GMT 2023","8202","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 11:44:29 GMT 2023","Thu Mar 02 11:44:35 GMT 2023","5805","","","","","","Logout off the site succesfully",""
"passed","Thu Mar 02 11:42:36 GMT 2023","Thu Mar 02 11:42:43 GMT 2023","6485","","","","","","Edit a project",""
"passed","Thu Mar 02 11:38:10 GMT 2023","Thu Mar 02 11:38:17 GMT 2023","6424","","","","","","Place item priority",""
"passed","Thu Mar 02 11:41:07 GMT 2023","Thu Mar 02 11:41:23 GMT 2023","16484","","","","","","Delete a pending item succesfully",""
"passed","Thu Mar 02 11:38:27 GMT 2023","Thu Mar 02 11:38:33 GMT 2023","6509","","","","","","Place item priority",""
"passed","Thu Mar 02 11:36:58 GMT 2023","Thu Mar 02 11:37:06 GMT 2023","8013","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 11:35:57 GMT 2023","Thu Mar 02 11:36:06 GMT 2023","8556","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 11:42:11 GMT 2023","Thu Mar 02 11:42:18 GMT 2023","6658","","","","","","Drag and drop above another project",""
"passed","Thu Mar 02 11:41:33 GMT 2023","Thu Mar 02 11:41:40 GMT 2023","6479","","","","","","Add a project above",""
"passed","Thu Mar 02 11:43:36 GMT 2023","Thu Mar 02 11:43:43 GMT 2023","6716","","","","","","Update password succesfully",""
"passed","Thu Mar 02 11:44:15 GMT 2023","Thu Mar 02 11:44:23 GMT 2023","7349","","","","","","Update time zone succesfully",""
"broken","Thu Mar 02 11:41:00 GMT 2023","Thu Mar 02 11:41:05 GMT 2023","5538","","","","","","Create an Item Successfully",""
"passed","Thu Mar 02 11:35:37 GMT 2023","Thu Mar 02 11:35:45 GMT 2023","8334","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 11:43:50 GMT 2023","Thu Mar 02 11:43:56 GMT 2023","6252","","","","","","View default settings succesfully",""
"passed","Thu Mar 02 11:42:28 GMT 2023","Thu Mar 02 11:42:34 GMT 2023","5979","","","","","","Change a project image",""
"passed","Thu Mar 02 11:42:44 GMT 2023","Thu Mar 02 11:42:51 GMT 2023","7013","","","","","","Empty the recycle bin succesfully",""
