"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Full name update","","0","0","2","0","0"
"","Settings view","","0","0","5","0","0"
"","Item Due Date","","0","0","17","0","0"
"","Items CRUD operations","","0","0","6","0","0"
"","Items actions operations","","0","0","16","0","0"
"","User","","0","0","2","0","0"
"","Email update","","0","0","3","0","0"
"","Password update","","0","0","2","0","0"
"","Recycle Bin","","0","0","1","0","0"
"","Time Zone update","","0","0","1","0","0"
