"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 27 21:34:45 GMT 2023","Mon Feb 27 21:34:47 GMT 2023","1574","","","","","","Delete a pending item succesfully",""
"failed","Mon Feb 27 21:33:41 GMT 2023","Mon Feb 27 21:34:45 GMT 2023","63667","","","","","","Create an Item Successfully",""
"failed","Mon Feb 27 21:32:39 GMT 2023","Mon Feb 27 21:33:40 GMT 2023","61257","","","","","","Checking an Item in a Project successfully",""
"broken","Mon Feb 27 21:29:31 GMT 2023","Mon Feb 27 21:30:33 GMT 2023","61384","","","","","","Successfully addition of an item above or below an existing item",""
"broken","Mon Feb 27 21:31:36 GMT 2023","Mon Feb 27 21:32:38 GMT 2023","61278","","","","","","Successfully addition of an item above or below an existing item",""
"broken","Mon Feb 27 21:28:25 GMT 2023","Mon Feb 27 21:29:30 GMT 2023","65050","","","","","","Successfully addition of an item above or below an existing item",""
"broken","Mon Feb 27 21:30:34 GMT 2023","Mon Feb 27 21:31:35 GMT 2023","61300","","","","","","Successfully addition of an item above or below an existing item",""
