"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 02 18:48:13 GMT 2023","Thu Mar 02 18:48:19 GMT 2023","6712","","","","","","Create an Item Successfully",""
"passed","Thu Mar 02 18:51:29 GMT 2023","Thu Mar 02 18:51:35 GMT 2023","6446","","","","","","View pro settings succesfully",""
"passed","Thu Mar 02 18:51:22 GMT 2023","Thu Mar 02 18:51:29 GMT 2023","6686","","","","","","View profile settings succesfully",""
"passed","Thu Mar 02 18:51:16 GMT 2023","Thu Mar 02 18:51:22 GMT 2023","6456","","","","","","View default settings succesfully",""
"passed","Thu Mar 02 18:50:21 GMT 2023","Thu Mar 02 18:50:28 GMT 2023","7498","","","","","","Fail to update email with empty input",""
"passed","Thu Mar 02 18:50:13 GMT 2023","Thu Mar 02 18:50:21 GMT 2023","7675","","","","","","Fail to update email with an existing email",""
"passed","Thu Mar 02 18:51:56 GMT 2023","Thu Mar 02 18:52:03 GMT 2023","6207","","","","","","Logout off the site succesfully",""
"passed","Thu Mar 02 18:44:37 GMT 2023","Thu Mar 02 18:44:46 GMT 2023","8885","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:49:32 GMT 2023","Thu Mar 02 18:49:39 GMT 2023","6661","","","","","","Create a new project",""
"passed","Thu Mar 02 18:50:38 GMT 2023","Thu Mar 02 18:50:45 GMT 2023","7071","","","","","","Fail to update full name with empty input",""
"passed","Thu Mar 02 18:49:06 GMT 2023","Thu Mar 02 18:49:12 GMT 2023","6569","","","","","","Change a project image",""
"passed","Thu Mar 02 18:50:46 GMT 2023","Thu Mar 02 18:50:53 GMT 2023","7504","","","","","","Update full name succesfully",""
"passed","Thu Mar 02 18:48:21 GMT 2023","Thu Mar 02 18:48:38 GMT 2023","16985","","","","","","Delete a pending item succesfully",""
"passed","Thu Mar 02 18:47:26 GMT 2023","Thu Mar 02 18:47:33 GMT 2023","6676","","","","","","Place item priority",""
"passed","Thu Mar 02 18:47:00 GMT 2023","Thu Mar 02 18:47:07 GMT 2023","6715","","","","","","Drang and drop inside another item",""
"passed","Thu Mar 02 18:44:27 GMT 2023","Thu Mar 02 18:44:36 GMT 2023","9036","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:45:42 GMT 2023","Thu Mar 02 18:45:51 GMT 2023","8992","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:50:05 GMT 2023","Thu Mar 02 18:50:13 GMT 2023","7326","","","","","","Empty the recycle bin succesfully",""
"passed","Thu Mar 02 18:43:34 GMT 2023","Thu Mar 02 18:43:43 GMT 2023","8973","","","","","","Check if item appear on given section",""
"passed","Thu Mar 02 18:47:54 GMT 2023","Thu Mar 02 18:48:01 GMT 2023","7608","","","","","","Successfully addition of an item above or below an existing item",""
"passed","Thu Mar 02 18:51:35 GMT 2023","Thu Mar 02 18:51:42 GMT 2023","6444","","","","","","View share settings succesfully",""
"passed","Thu Mar 02 18:45:53 GMT 2023","Thu Mar 02 18:46:01 GMT 2023","7766","","","","","","Update the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:44:48 GMT 2023","Thu Mar 02 18:44:57 GMT 2023","8881","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:51:01 GMT 2023","Thu Mar 02 18:51:08 GMT 2023","6970","","","","","","Update password succesfully",""
"passed","Thu Mar 02 18:45:10 GMT 2023","Thu Mar 02 18:45:19 GMT 2023","8637","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:48:40 GMT 2023","Thu Mar 02 18:48:48 GMT 2023","7594","","","","","","Update a name of an item succesfully",""
"passed","Thu Mar 02 18:49:15 GMT 2023","Thu Mar 02 18:49:22 GMT 2023","7165","","","","","","Drag and drop above another project",""
"passed","Thu Mar 02 18:47:35 GMT 2023","Thu Mar 02 18:47:42 GMT 2023","6965","","","","","","Place item priority",""
"passed","Thu Mar 02 18:44:15 GMT 2023","Thu Mar 02 18:44:25 GMT 2023","9053","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:44:05 GMT 2023","Thu Mar 02 18:44:13 GMT 2023","8854","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:46:22 GMT 2023","Thu Mar 02 18:46:30 GMT 2023","7756","","","","","","Update the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:45:20 GMT 2023","Thu Mar 02 18:45:29 GMT 2023","8843","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:45:31 GMT 2023","Thu Mar 02 18:45:40 GMT 2023","8653","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:48:03 GMT 2023","Thu Mar 02 18:48:11 GMT 2023","7514","","","","","","View More and Less Options Successfully",""
"passed","Thu Mar 02 18:49:24 GMT 2023","Thu Mar 02 18:49:31 GMT 2023","6523","","","","","","Drang and drop inside another project",""
"passed","Thu Mar 02 18:51:50 GMT 2023","Thu Mar 02 18:51:56 GMT 2023","5972","","","","","","Login into the site succesfully",""
"passed","Thu Mar 02 18:44:59 GMT 2023","Thu Mar 02 18:45:08 GMT 2023","8854","","","","","","Postpone the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:47:17 GMT 2023","Thu Mar 02 18:47:24 GMT 2023","6782","","","","","","Place item priority",""
"passed","Thu Mar 02 18:46:12 GMT 2023","Thu Mar 02 18:46:20 GMT 2023","7652","","","","","","Update the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:47:09 GMT 2023","Thu Mar 02 18:47:15 GMT 2023","6658","","","","","","Place item priority",""
"passed","Thu Mar 02 18:51:09 GMT 2023","Thu Mar 02 18:51:15 GMT 2023","6447","","","","","","View account settings succesfully",""
"passed","Thu Mar 02 18:48:58 GMT 2023","Thu Mar 02 18:49:05 GMT 2023","7041","","","","","","Add a project below",""
"passed","Thu Mar 02 18:46:03 GMT 2023","Thu Mar 02 18:46:10 GMT 2023","7820","","","","","","Update the Due Date of an item succesfully",""
"passed","Thu Mar 02 18:43:45 GMT 2023","Thu Mar 02 18:43:53 GMT 2023","7747","","","","","","Check if item appear on given section",""
"passed","Thu Mar 02 18:43:55 GMT 2023","Thu Mar 02 18:44:03 GMT 2023","7857","","","","","","Check if item appear on given section",""
"passed","Thu Mar 02 18:46:32 GMT 2023","Thu Mar 02 18:46:39 GMT 2023","7031","","","","","","Checking and unchecking an Item in a Project successfully",""
"passed","Thu Mar 02 18:51:42 GMT 2023","Thu Mar 02 18:51:50 GMT 2023","7498","","","","","","Update time zone succesfully",""
"passed","Thu Mar 02 18:47:44 GMT 2023","Thu Mar 02 18:47:52 GMT 2023","7460","","","","","","Successfully addition of an item above or below an existing item",""
"passed","Thu Mar 02 18:48:50 GMT 2023","Thu Mar 02 18:48:57 GMT 2023","7086","","","","","","Add a project above",""
"passed","Thu Mar 02 18:49:57 GMT 2023","Thu Mar 02 18:50:04 GMT 2023","7365","","","","","","Edit a project",""
"passed","Thu Mar 02 18:46:50 GMT 2023","Thu Mar 02 18:46:58 GMT 2023","7249","","","","","","Drag and drop above another item",""
"passed","Thu Mar 02 18:50:54 GMT 2023","Thu Mar 02 18:51:01 GMT 2023","7343","","","","","","Fail to update password with empty input",""
"passed","Thu Mar 02 18:49:40 GMT 2023","Thu Mar 02 18:49:56 GMT 2023","16511","","","","","","Delete a project",""
"passed","Thu Mar 02 18:46:41 GMT 2023","Thu Mar 02 18:46:48 GMT 2023","7284","","","","","","Checking and unchecking an Item in a Project successfully",""
"passed","Thu Mar 02 18:50:28 GMT 2023","Thu Mar 02 18:50:37 GMT 2023","9238","","","","","","Update email succesfully",""
